,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
196,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2398,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
88,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2509,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3082,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1195,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1786,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
952,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
759,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
463,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
829,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
443,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1818,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
25,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
755,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1272,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2093,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2284,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1454,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1037,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2236,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2456,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
485,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2304,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2030,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3042,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
67,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2878,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
568,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
729,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
31,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
718,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1423,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2320,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
978,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3047,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1108,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
58,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2965,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
343,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1807,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1029,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
166,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
124,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2525,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2633,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
471,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
903,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
599,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1510,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
598,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1763,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2763,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2792,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1128,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1912,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1398,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3153,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1113,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1967,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1647,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
176,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
408,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
695,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2528,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1307,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3051,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2466,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1765,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1244,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
80,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2227,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1231,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2372,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1909,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2087,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2856,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
450,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3022,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2064,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
433,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1211,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2008,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
370,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
402,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2918,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1011,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1736,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1737,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2943,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1961,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1623,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2042,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
547,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1621,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2102,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
141,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1241,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2044,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2609,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2778,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1985,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1922,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
544,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1849,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
817,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
811,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1614,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2126,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
528,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2177,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2512,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
940,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
416,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
177,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
976,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2077,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1075,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1626,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2028,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
801,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2381,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2389,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
183,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1041,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2043,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2815,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2913,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2706,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2426,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1381,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2058,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
812,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3119,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1018,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
393,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1543,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1488,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
478,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
438,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
162,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2593,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2066,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
3063,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2970,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1822,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1517,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2148,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
670,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1373,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1124,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1563,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1102,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
30,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1518,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
555,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1006,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1498,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
173,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2084,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
296,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
325,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1330,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1288,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
279,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
612,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
964,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2881,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2123,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2242,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3165,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1422,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2963,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1204,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2016,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
611,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
73,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
48,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1995,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
601,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2307,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1869,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1537,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1188,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
761,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2186,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1606,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2310,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2032,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2436,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2244,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3159,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1885,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2501,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2602,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1456,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2010,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2308,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1894,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2490,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1376,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1093,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1839,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1711,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2412,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1727,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1413,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1775,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1532,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2709,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
3089,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1017,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3087,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
108,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2298,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1882,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
318,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2475,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2906,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1545,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3118,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2095,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2650,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1173,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1494,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
610,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2189,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1511,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1356,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2726,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1117,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
578,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
56,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1910,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1681,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2162,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
602,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
468,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2515,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2147,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
535,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1746,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
581,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
912,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2243,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3074,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2120,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
69,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2804,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1793,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
436,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2153,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1983,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
208,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1451,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
565,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
313,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
233,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
990,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2966,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
807,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
111,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3012,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
838,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
654,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1770,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1813,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
472,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2636,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1665,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
734,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2748,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
746,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1177,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1628,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
764,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1103,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1340,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
361,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
135,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1412,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2318,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2739,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2414,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
366,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1925,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
29,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2670,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
22,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2828,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2330,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2846,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
420,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1588,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
460,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
43,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
87,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1200,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2936,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1468,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
561,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
282,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1651,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
