,CaseId,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
2378,2378,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1732,1732,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
857,857,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3111,3111,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2229,2229,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2820,2820,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1957,1957,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3046,3046,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2653,2653,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2857,2857,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1671,1671,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1820,1820,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2555,2555,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
798,798,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
679,679,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2581,2581,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2071,2071,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2012,2012,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
266,266,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2574,2574,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
196,196,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2398,2398,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
88,88,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2509,2509,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3082,3082,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1195,1195,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1786,1786,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
952,952,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
759,759,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
463,463,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
829,829,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
443,443,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1818,1818,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
25,25,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
755,755,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1272,1272,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2093,2093,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2284,2284,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1454,1454,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1037,1037,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2236,2236,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2456,2456,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
485,485,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2304,2304,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2030,2030,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3042,3042,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
67,67,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2878,2878,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
568,568,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
729,729,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
31,31,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
718,718,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1423,1423,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2320,2320,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
978,978,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3047,3047,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1108,1108,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
58,58,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2965,2965,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
343,343,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1807,1807,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1029,1029,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
166,166,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
124,124,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2525,2525,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2633,2633,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
471,471,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
903,903,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
599,599,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1510,1510,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
598,598,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1763,1763,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2763,2763,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2792,2792,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1128,1128,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1912,1912,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1398,1398,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3153,3153,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1113,1113,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1967,1967,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1647,1647,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
176,176,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
408,408,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
695,695,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2528,2528,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1307,1307,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3051,3051,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2466,2466,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1765,1765,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1244,1244,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
80,80,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2227,2227,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1231,1231,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2372,2372,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1909,1909,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2087,2087,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2856,2856,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
450,450,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3022,3022,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2064,2064,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
433,433,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1211,1211,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2008,2008,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
370,370,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
402,402,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2918,2918,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1011,1011,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1736,1736,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1737,1737,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2943,2943,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1961,1961,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1623,1623,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2042,2042,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
547,547,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1621,1621,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2102,2102,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
141,141,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1241,1241,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2044,2044,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2609,2609,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2778,2778,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1985,1985,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1922,1922,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
544,544,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1849,1849,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
817,817,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
811,811,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1614,1614,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2126,2126,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
528,528,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2177,2177,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2512,2512,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
940,940,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
416,416,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
177,177,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
976,976,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2077,2077,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1075,1075,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1626,1626,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2028,2028,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
801,801,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2381,2381,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2389,2389,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
183,183,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1041,1041,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2043,2043,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2815,2815,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2913,2913,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2706,2706,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2426,2426,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1381,1381,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2058,2058,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
812,812,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3119,3119,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1018,1018,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
393,393,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1543,1543,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1488,1488,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
478,478,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
438,438,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
162,162,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2593,2593,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2066,2066,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
3063,3063,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2970,2970,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1822,1822,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1517,1517,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2148,2148,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
670,670,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1373,1373,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1124,1124,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1563,1563,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1102,1102,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1001,1001,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
30,30,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1518,1518,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
555,555,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1006,1006,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1498,1498,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
173,173,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2084,2084,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
296,296,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
325,325,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1330,1330,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1288,1288,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
279,279,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
612,612,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
964,964,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2881,2881,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2123,2123,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2242,2242,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3165,3165,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1422,1422,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2963,2963,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1204,1204,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2016,2016,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
611,611,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
73,73,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
48,48,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1995,1995,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
601,601,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2307,2307,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1869,1869,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1537,1537,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1188,1188,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
761,761,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2186,2186,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1606,1606,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2310,2310,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2032,2032,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2436,2436,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2244,2244,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3159,3159,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1885,1885,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2501,2501,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2602,2602,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1456,1456,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2010,2010,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2308,2308,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1894,1894,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2490,2490,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1376,1376,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1093,1093,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1839,1839,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1711,1711,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2412,2412,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1727,1727,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1413,1413,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1775,1775,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1532,1532,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2709,2709,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
3089,3089,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1017,1017,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3087,3087,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
108,108,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2298,2298,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1882,1882,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
318,318,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2475,2475,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2906,2906,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1545,1545,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3118,3118,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2095,2095,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2650,2650,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1173,1173,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1494,1494,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
610,610,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2189,2189,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1511,1511,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1356,1356,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2726,2726,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1117,1117,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
578,578,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
56,56,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1910,1910,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1681,1681,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2162,2162,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
602,602,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
468,468,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2515,2515,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2147,2147,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
535,535,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1746,1746,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
581,581,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
912,912,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2243,2243,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3074,3074,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2120,2120,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
69,69,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2804,2804,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1793,1793,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
436,436,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2153,2153,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1983,1983,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
208,208,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1451,1451,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
565,565,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
313,313,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
233,233,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
990,990,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2966,2966,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
807,807,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
111,111,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3012,3012,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
838,838,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
654,654,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1770,1770,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1813,1813,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
472,472,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2636,2636,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1665,1665,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
734,734,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2748,2748,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
746,746,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1177,1177,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1628,1628,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
764,764,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1103,1103,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1340,1340,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
361,361,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
135,135,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1412,1412,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2318,2318,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2739,2739,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2414,2414,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
366,366,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1925,1925,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
29,29,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2670,2670,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
22,22,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2828,2828,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2330,2330,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2846,2846,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
420,420,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1588,1588,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
460,460,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
43,43,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
87,87,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1200,1200,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
